color,description,fuel,guarantee,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year
,"Deze advertentie en de inhoud ervan is met de grootst mogelijke zorg samengesteld. Het is echter mogelijk dat in de gehanteerde advertentietekst bepaalde opties en of accessoires zijn vermeld welke niet op deze specifieke auto aanwezig zijn. Er kunnen derhalve aan de advertentie geen rechten worden ontleend en Joosen Auto’s Ulicoten kan nooit aansprakelijk worden gesteld voor de inhoud en volledigheid van de verstrekte informatie.     aanvullende garantie in overleg mogelijk    - Airbag Bestuurder - Airbag Passagier - Airbag, zijdelings voor 2x - Gordijn/hoofd airbags voor - Airconditioning, handbediend - Airconditioning - Radio/CD/MP3 speler - Aux aansluiting - ESP - ASR Anti doorslip regeling - Elektrische ramen voor - Boordcomputer - ABS - Start en Stop systeem - Startonderbreking - Bumpers in kleur van de carrosserie - APK bij aflevering - Onderhoudsboekje aanwezig - Deelb. achterbank (ongelijke delen) - Rokersvrije auto - Stuurbekrachtiging - Stuurbekrachtiging, snelheidsafhankelijk - Bekerhouder voor - Buitenspiegels in kleur van carrosserie - Verstelbaar stuur - Centrale deurvergrendeling, afstandbediend - Bestuurdersstoel hoogte verstelbaar - Kinderzitje voorbereiding ISOfix - Executive-pakket - Hill hold functie",Benzine,,Ja,Volkswagen,254718,up!,,44,2995.0,Autobedrijf,Handgeschakeld,,08/2012
,"Let op! Auto heeft schade aan rechter zijdeuren zie op foto.  Auto rijdt en schakelt perfect! Bel ons voor een proefrit 06-21250919. Beekman Auto's is een RDW erkend familiebedrijf. Wij Houden ons bezig met de IN & VERKOOP van gebruikte occasions.  Overschrijven en op naam zetten doen wij bij ons op de zaak 24/7 dus ook in de avonduren! Inkopen van uw occasion is bij ons ook zeker mogelijk en u krijgt de vrijwaring direct in handen. Geïnteresseerd in een auto.....? Kom vrijblijvend een kijkje nemen, dan zetten wij de koffie voor u klaar! Graag even bellen voordat u vertrekt, om teleurstelling te voorkomen. We zijn ook niet altijd op locatie aanwezig i.v.m. het afhalen van nieuwe voorraad. Wilt u buiten onze openingstijden een occasion komen bekijken en een proefrit maken dat kan uiteraard ook echter wel op afspraak!  U kunt ons altijd bereiken via de mail, WhatsApp of telefonisch. Wij bieden ook exportdiensten aan!  Export trailer €50,- Export Drive €150,- Acceleratie (0-100):  Topsnelheid:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 500 kg) Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,Ja,Opel,210785,Corsa,,63,2250.0,Autobedrijf,Handgeschakeld,,11/2010
,"Mooi complete goed onderhouden hoog-zitter met veel binnenruimte. Complete onderhoud met boekjes ingevuld aanwezig. Wordt geleverd met 12 maanden BOVAG garantie/afleveringsbeurt en nieuwe apk. Prijs is All-in. Bosch Car Service Lex Vilier is sinds 1995 gevestigd in Elst. We zijn een universeel autobedrijf met als specialisatie LPG. Bosch Car Service Lex Vilier is een merk-onafhankelijk BOVAG autobedrijf dat alle werkzaamheden en oplossingen voor uw auto onder één dak biedt. Voor de aanschaf van een nieuwe of gebruikte auto, onderhoud, reparatie en advies, bent u bij Bosch Car Service Lex Vilier aan het juiste adres.   Gereserveerd:  Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxB):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 600 kg) Energielabel:  Onderhoudsboekjes:  100% Onderhouden:  Technische staat:  Optische staat:  Staat interieur:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Aanvullende garantielabels:  BOVAG 40-Puntencheck:  BOVAG Afleverbeurt:  Inbegrepen afleverpakket: 12 maanden BOVAG garantie Dit afleverpakket bevat: BOVAG garantie (12 maanden); BOVAG 40-Puntencheck; BOVAG Afleverbeurt; Bosch Car Service Best Car Selection; Nieuwe APK; RDW leges Airconditioning:  Storingsmelding:  Bandenset: ",Benzine,12,Ja,Hyundai,94681,KONA,,88,13950.0,Autobedrijf,Handgeschakeld,,09/2019
,"Autohuis Ter Laare biedt deze origineel Nederlands geleverde Citroën C1 5-deurs aan. Deze C1 is voorzien van opties waaronder airconditioning, elektrische ramen, toerenteller en centrale vergrendeling met afstandsbediening.  De 1.0 motor is niet alleen zeer gunstig in het brandstofverbruik maar komt ook prima mee met het verkeer door zijn lage eigengewicht. De huidige kilometerstand is 256.102 (met Nationale Autopas, dus een logische stand). Zie laatste paar foto’s voor de minpunten/beschadigingen. Radio houdt geheugen niet vast. Kom snel langs en laat u overtuigen van deze praktische auto! Volg ons ook op Facebook en Instagram @autohuisterlaare ! De prijs van deze auto betreft een rijklaarprijs, dit houdt in dat wij geen bijkomende kosten hanteren. Wilt u uw huidige auto inruilen? Stuur dan een paar foto's naar ons e-mailadres of via WhatsApp (+31615118089). Vermeld ook de huidige kilometerstand en een eventuele richtprijs. Wij werken momenteel op afspraak!! Graag zouden wij u verzoeken ons van tevoren te bellen om een afspraak te maken zodat u niet voor een dichte deur komt te staan. Tenaamstellen en vrijwaren is bij ons 24/7 mogelijk! Autohuis Ter Laare B.V. Lage Brink 24 7317BE Apeldoorn Voor vragen of reacties zijn wij te bereiken via: E: info@autohuisterlaare.nl T: 055 234 0538 T: +316 15 118 089 (ook WhatsApp) Acceleratie (0-100):  Topsnelheid:  Laadvermogen:  GVW:  Wielbasis:  Interieurkleur:  Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,,Citroen,256102,C1,,50,1675.0,Autobedrijf,Handgeschakeld,,05/2011
,"Ben je op zoek naar een mooie Ford Galaxy uit 2017 met opties zoals full led verlichting, wegklapbare trekhaak en navigatiesysteem. Deze Galaxy is door ons aangekocht van eerste eigenaar met een tellerstand van 162.133. De tellerstand is logisch verklaarbaar en de auto is dan ook voorzien van een NAP tellerrapport. Op onze website vind je het Nationaal Autorapport. Hier staat ook het aantal eigenaren in en een checklist van maar liefst 55 technische en 40 optische punten waar de auto op gecontroleerd is. De Ford Galaxy heeft een benzine motor met een maximum vermogen van 177KW (241 PK) en haalt hiermee een gemiddeld gebruik van 7.90L op 100Km. Wij zijn telefonisch bereikbaar op de volgende tijden: - Maandag tm Vrijdag: 08:00 t/m 22:00  - Zaterdag: 08:00 t/m 17:00 - Zondag: gesloten Via telefoonnummer: 0182716409 En wil je de beste service? Plan dan een afspraak in, wij zorgen er dan voor dat we speciaal voor jou klaar staan. Wil je een proefrit maken, dan kan dat op afspraak. Neem hiervoor contact met ons op of kijk op https://www.vaartland.nl/proefrit-maken voor meer informatie en de voorwaarden. Voor de actuele locatie van de auto kijk op www.vaartland.nl. Waarom kiezen voor deze Ford Galaxy: Alle moeite is genomen om de informatie in deze advertentie zo accuraat en actueel mogelijk weer te geven. Er kunnen echter uitdrukkelijk geen rechten worden ontleend aan de verstrekte informatie in de advertentie. Vertrouw daarom niet alleen op deze informatie en controleer daarom bij aankoop de zaken die uw beslissing zouden kunnen beïnvloeden. Laadvermogen:  GVW:  Max. trekgewicht:  Wielbasis:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,,Ford,162133,Galaxy,,177,19945.0,Autobedrijf,Automatisch,,05/2017
,"Een hatchback als deze is er niet! De aandrijving van deze Suzuki Baleno 1.2 wordt verzorgd door een viercilinder benzinemotor en een handgeschakelde vijfversnellingsbak. De auto wordt gecompleteerd door onder meer een 1.2L motor met maar liefst 90PK,elektrisch verstelbare buitenspiegels, multifunctioneel stuurwiel, stoelverwarming, elektrisch bedienbare ramen voor. Gemakkelijk en veilig is bediening voor het audio-installatiesysteem met knoppen op het stuur. Ook is de auto voorzien van automatische airconditioning. De Suzuki Baleno is standaard voorzien van:  isofix-aansluiting, centrale deurvergrendeling met afstandsbediening, bleutooth en boordcomputer.  Pragmatisch en veilig als deze auto is, beschikt hij over diverse veiligheidssystemen. Het bandenspanningscontrolesysteem waarschuwt als de druk in een of meer banden te laag wordt. Een noodstop maken doet u liever niet. Maar áls het nodig is, geeft de Brake Assist maximale ondersteuning.  Dit is echt een hatchback die u van dichtbij wilt zien! Bel even voor een afspraak en we zorgen dat-ie voor u klaarstaat! Typfouten ondervoorbehoud een foutje is immers menselijk. Al onze auto's vanaf €3000,- worden standaard met nieuwe APK afgeleverd. 3,6 of 12 maanden garantie behoort ook tot de mogelijkheden u kunt ons altijd vragen naar de voorwaarde! Ook is het bij ons mogelijk in te ruilen zowel Auto, Boot, Camper, Caravan en motor. Ook is er de mogelijkheid voor een bovag apk keuring. Wij zijn 6 dagen per week geopend van maandag tot en met zaterdag van 09:30 tot 17:00. 's Avonds op telefonische afspraak na sluitingstijd is bespreekbaar. We hebben altijd tussen de 30/75 occasions op voorraad dus kom gerust langs in onze verwarmde showroom voor een bezichtiging onder genot van een heerlijke kop koffie. +31617780078 Info@autohuismiddennederland.nl Modelreeks:  Koppel:  Wielbasis:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,Ja,Suzuki,57642,Baleno,,66,9250.0,Autobedrijf,Handgeschakeld,,06/2017
,"Wij zijn 7 dagen in de week op afspraak geopend. Om u optimaal van dienst te kunnen zijn, zijn wij enkel op afspraak geopend.  Komt het u beter uit om s avonds te komen, in principe is iedere avond bezichtigen op afspraak mogelijk.  Auto overschrijven is iedere dag mogelijk van: 9.00 tot 21.00 uur. Zondag overschrijven is mogelijk. Dagelijks telefonisch bereikbaar van 09:00 tot 21:00 uur. Bovenstaande informatie is met zorg opgesteld, maar daaraan kunnen geen rechten worden ontleend. Type-, zet- en spelfouten zijn dan ook voorbehouden. Acceleratie (0-100):  Topsnelheid:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 750 kg) Energielabel:  Onderhoudsboekjes:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,Ja,Opel,254222,Insignia,,103,3450.0,Autobedrijf,Handgeschakeld,,01/2012
,"Heeft u een auto gezien die uw interesse heeft gewekt? Neem dan contact met ons op voor een afspraak of taxatie van uw huidige auto op afstand. Verder bieden wij verschillende mogelijkheden voor aflevering, onderhoud en garantie van uw nieuwe auto.  Wij bieden onze auto's aan incl. alle onvermijdelijke kosten en excl. onze afleverpakketten. Voor meer informatie over deze pakketten verwijzen wij u door naar onze website: https://hvauto.nl/aflevering-en-garantie/  Vrijwel alle inruil is mogelijk en ook voor een financiering maken wij graag een persoonlijk voorstel.  Voor verdere informatie of het maken van een afspraak kunt u contact opnemen met Harm van der Veen: 06-22450474, Dirk Kruisheer: 06-22790029 of Henk Oostingh: 06-27152601 Ons mailadres is info@hvauto.nl.  Hoewel alle gegevens met de grootst mogelijke zorgvuldigheid zijn samengesteld is hvauto.nl niet aansprakelijk voor eventuele druk-, zet-, prijs-, en programmeerfouten. Alle afbeeldingen zoals deze getoond worden, zijn auteursrechtelijk beschermd en mogen niet worden gebruikt door derden. Modeljaar:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 685 kg) Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal   Dit afleverpakket bevat: BOVAG garantie (12 maanden); BOVAG 40-Puntencheck; BOVAG Afleverbeurt; Nieuwe APK",Benzine,,Ja,Opel,43028,Grandland X,1,96,16900.0,Autobedrijf,Handgeschakeld,,08/2020
,"Alle technologie in de BMW 1-serie is er op gericht om uw rit veilig en gemakkelijk te laten verlopen. De aandrijving van deze BMW wordt verzorgd door een viercilinder motor en een handgeschakelde zesversnellingsbak. De hoogwaardige uitstraling van deze auto wordt benadrukt door de lederen bekleding. 's Winters komen de verwarmbare voorstoelen heerlijk van pas. De sportstoelen geven u veel zitsteun. Natuurlijk behoren 16 inch lichtmetalen velgen, sportonderstel, getint glas, elektrisch verstelbare buitenspiegels, elektrisch bedienbare ramen achter en metallic lak ook tot de uitrusting van deze complete auto.  De auto is ook uitgevoerd met automatische airconditioning. Superstrak parkeren wordt een eitje dankzij de parkeersensoren. Zuinig zoeven, dat kan deze auto dankzij de aanwezige cruise control. En dan is deze auto ook nog eens voorzien van sportstuurwiel, automatisch dimmende binnenspiegel, centrale portiervergrendeling en boordcomputer.  De nieuwste veiligheidssystemen komen in deze BMW 1-serie samen. Banden met te weinig lucht zorgen voor meer brandstofverbruik en meer uitstoot. Met het bandenspanningscontrolesysteem krijgt u op tijd een waarschuwing.  Is uw nieuwsgierigheid gewekt? Bel ons dan snel om deze auto te komen bekijken.Betreft een nette, schadevrije en goed onderhouden auto, inclusief nationale Autopas. Auto wordt geleverd met een nieuwe apk. Inruil van Uw huidige auto is natuurlijk mogelijk. Wij zijn geopend van maandag t/m zaterdag van 09.00 uur tot 18.00 uur. In de avond en op zondag is ook mogelijk, enkel op telefonische afspraak. (06-11344594) Beste Lezer(s), Het is positief en heel mooi dat wij erg veel reacties krijgen op onze advertenties. Deze reacties komen vaak via de E-mail, WhatsApp of Marktplaats App. In onze (kleine) organisatie is het vaak lastig om snel en adequaat te reageren op deze berichten. Wij willen u dan ook vriendelijk verzoeken om, als u vragen heeft over, of wilt reageren op, het door ons geadverteerde item, contact met ons op te nemen per telefoon op nummer 06-11344594 AVO Auto's Cornelis de Vriesweg 51C 1746 CM Dirkshorn Tel.nr. 06-11344594 E-mail : hemrutten@gmail.com Bandenmaat:  Acceleratie (0-100):  Topsnelheid:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 665 kg) Energielabel:  Onderhoudsboekjes:  Schade:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,Ja,BMW,281490,120,,110,2999.0,Autobedrijf,Handgeschakeld,,02/2006
,"Zegt u nou zelf: zo'n overdreven grote auto heeft u toch niet nodig? Deze auto is weliswaar wat kleiner, maar biedt daardoor een overdaad aan voordelen qua geld en gemak. De compacte maar pittige motor heeft een bescheiden dorst maar levert prima prestaties. De uitmonstering van deze auto wordt gecompleteerd door onder meer LED-dagrijverlichting, elektrisch verstelde en verwarmde buitenspiegels, elektrisch bedienbare ramen voor en start-stopsysteem.  Audiosysteem en navigatiesysteem zijn gecombineerd. Zo wordt zelfs gesproken route-informatie een luisterervaring! En dankzij bluetooth klinkt uw favoriete playlist geweldig. U bedient de cruise control eenvoudig zonder uw handen van het stuur te halen. Ja, ook airconditioning is in deze auto aanwezig. De Renault is standaard voorzien van: centrale deurvergrendeling met afstandsbediening, bagage afdekhoes, boordcomputer en verstelbaar stuur.  De nieuwste veiligheidssystemen komen in deze Renault Clio samen. Soepel wegrijden op een helling is eenvoudig met de hulp van hill hold control.  We kunnen u wel duizend dingen over deze auto vertellen, maar het is beter als u hem zelf komt bekijken en ervaren. Neemt u snel contact met ons op? GEEN bijkomende Aflever of Rijklaar maak kosten Topper Auto is een universeel autobedrijf. Onze bouwjaren, tellerstanden en prijzen zijn exact vermeld en inruil van uw huidige auto is bij ons altijd mogelijk. Elke occasion word afgeleverd met NAP certificaat en een geldige Apk. Ook is het financieren en verzekeren van uw nieuwe aankoop via ons mogelijk. Al onze occasions zijn uitsluitend op afspraak te bezichtigen, daarom verzoeken wij u vriendelijk van te voren te bellen voor een afspraak. Inruil Mogelijk! Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Lengte:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 540 kg) Energielabel:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Inbegrepen afleverpakket: ",Benzine,,,Renault,284517,Clio,,66,3745.0,Autobedrijf,Handgeschakeld,,07/2013
