color,description,fuel,guarantee,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year
,"Met de Volkswagen T-Cross is heel veel mogelijk. Een vakantie met het hele gezin, die nieuwe kast ophalen bij Ikea of gezellig met zijn vijven een dagje erop uit. Deze is uit 2020 en heeft 48450 kilometer op de teller. Het zijn de degelijkheid van de constructie en de doordachtheid van het ontwerp die ervoor zorgen dat een Volkswagen jarenlang begeerlijk blijft. Dat is duidelijk te zien aan deze T-Cross van eerste eigenaar. Voor de aandrijving van deze SUV zorgen een driecilinder benzinemotor en een handgeschakelde vijfversnellingsbak. Tot de voorzieningen van deze auto behoren 16 inch lichtmetalen velgen, warmtewerend glas, LED-dagrijverlichting, aluminium dakrailing, in hoogte verstelbare passagiersstoel en in delen neerklapbare achterbank.  Adaptive cruise control houdt de ingestelde snelheid vast en houdt automatisch afstand tot jouw voorligger. Wat is de onderhoudsstatus van deze auto? Je checkt het snel, simpel en overal via je smartphone. De kortste weg, de zuinigste weg, de snelste weg... elke weg is te vinden met het full map navigatiesysteem. Alle audioknoppen letterlijk onder handbereik: dat kan met de audiobediening op het stuur. Met de DAB-ontvanger luister jij naar glasheldere digitale radio. Met parkeersensoren voor en achter, regensensor, airconditioning, automatisch dimmende binnenspiegel, lederen stuur en isofix-aansluiting is deze Volkswagen helemaal compleet.  De nieuwste veiligheidssystemen komen in deze Volkswagen T-Cross samen. Het Lane-keeping systeem zorgt voor een automatisch constante positie binnen de rijstrook. Afdwalen is uitgesloten. De sensor van het forward collision warning-systeem registreert permanent de afstand tot voorliggers en grijpt in als een botsing dreigt. De veiligheid van deze auto wordt verder verhoogd door dodehoekdetectie, hill hold functie, autonoom remsysteem en bandenspanningcontrolesysteem.  Is dit de auto die je zoekt? Neem snel contact met ons op, dan kun je hem binnenkort zelf bekijken. Wij geloven dat een auto kopen veel vriendelijker, makkelijker én leuker kan. Zo leuk zelfs dat je er het liefst iedere dag eentje koopt. Want bij auto.nl zijn we dol op auto’s, maar nog meer op mensen. En daarom zetten wij altijd een stapje extra en zeggen we wat vaker JA!  • JA! Al onze auto’s zijn allemaal grondig gecheckt, van voor- tot achterlicht.  • JA! Natuurlijk krijg je op iedere auto garantie. Je hebt keuze tussen 6 en 12 maanden. • JA! Je mag de auto na aankoop nog 14 dagen proberen, zodat je zeker weet dat de auto bij je past.  • JA! We komen de auto gewoon weer halen als ‘ie niet bevalt binnen die 14 dagen.  • En JA! We kunnen de auto ook thuisbezorgen. Zelfs op de Waddeneilanden.  Bestel je droomauto direct online of maak een afspraak in Raamsdonksveer om ‘m te komen bekijken, voelen, ruiken, knuffelen én proefrijden. Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 620 kg) Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Garantielabel: ",Benzine,6,Ja,Volkswagen,48450,T-Cross,1,71,17500.0,Autobedrijf,Handgeschakeld,,01/2020
,"Wilt u meer weten over deze auto of een afspraak voor bezichtiging maken, bel ons voor  een afspraak op: 0343-760199 De verkoopprijs van deze auto is inclusief een geldige APK. De auto wordt op uw naam overgeschreven en heeft tevens een pre inspectie en vloeistofcontrole gehad. Een onderhoud en garantiepakket met 12 maanden BOVAG garantie bieden wij aan voor een meerprijs van 795 euro. De optielijst is met grote zorg samengesteld. Het kan voorkomen dat een aanwezige optie niet beschreven is of er een optie is beschreven die niet aanwezig is. Aanbevolen is opties die uw beslissing bij aankoop kunnen beïnvloeden alvorens uw aankoop te controleren. Aan de optielijst kunnen geen rechten worden ontleend.   Autobedrijf behoort tot de in de regio welbekende Bochane Groep. Er staat voor ieder merk een vakkundig team klaar voor u! Dat betekent dat u verzekerd bent van een schat aan ervaring, kennis en de hoogst denkbare service. Autobedrijf Bochane beschikt o.a. over een eigen leaseafdeling en verhuurmaatschappij. Daarnaast kunnen wij u een passend financieringsvoorstel en een verzekeringsofferte aanbieden.    Graag tot ziens bij Vakgarage Bochane Service Center Maarn! Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxB):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 687 kg) Energielabel:  Technische staat:  Optische staat:  Staat interieur:  Aantal sleutels:  Motorrijtuigenbelasting:   per kwartaal Garantie:  Inbegrepen afleverpakket:  - Geldige APK - Tenaamstelling van het voertuig - Technisch inspectie - Vloeistoffen controle en bijvullen Dit afleverpakket bevat: Wettelijke garantie (12 maanden garantie); 12 Maanden Wettelijke garantie, Geldige APK, Technische inspectie, Tenaamstelling van het voertuig, Vloeistoffen controle en bijvullen Airconditioning:  Storingsmelding: ",Benzine,12,Ja,Nissan,142443,Qashqai,,103,14890.0,Autobedrijf,Handgeschakeld,,03/2019
,VOOR ALLE ADVERTENTIES : WWW.HORSMANSAUTO.NL TEL VOOR EEN AFSPRAAK : LOCHT 54 6466 GW KERKRADE TEL. 045-5114324  /  0639215356 Kerkraderweg 301 6416 CH HEERLEN TEL. 045-5119730  /  0639215356 Modelreeks:  Kenteken:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Max. trekgewicht:   (ongeremd 695 kg) Wielbasis:  CO₂-uitstoot (NEDC):  Energielabel:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Garantielabel: ,Benzine,12,Ja,BMW,252326,316,,100,8240.0,Autobedrijf,Handgeschakeld,,09/2013
,"Duurzaam en dynamisch, de byd ATTO 3 verenigt deze twee uitersten in zich. Dit is een auto uit 2022, er staat 10299 kilometer op de teller. Stil en stevig optrekken zonder extra uitstoot? De elektromotor zorgt ervoor! De krachtige motor geeft deze byd uitstekende prestaties. Het kan niet op: een fraai lederen interieur, zeeën van licht met het elektrisch bediende glazen panorama dak en probleemloos in- en uitladen met de elektrisch bedienbare achterklep. Tijdens koude winterdagen verjaagt uw stoelverwarming de kou en maakt het rijden heerlijk comfortabel. Tot de uitrusting van deze byd behoren ook 18 inch lichtmetalen velgen, LED koplampen, aluminium dakrailing, elektrisch inklapbare buitenspiegels, in delen neerklapbare achterbank en LED-achterlichten.  In één oogopslag zijn alle vitale functies afleesbaar dankzij het digitale dashboard. De vier camera's die samen de 360 graden camera vormen, bieden u de mogelijkheid om obstakels in elke richting te zien. Adaptive cruise control houdt de ingestelde snelheid vast en houdt automatisch afstand tot uw voorligger. Spraaksturing luistert naar uw stem en bedient de belangrijkste voertuigfuncties. Met uw smartphone maakt u overal contact met de auto. Remote services geven direct inzicht in uiteenlopende functies en zijn op afstand te activeren. En dan is deze auto ook nog eens voorzien van full map navigatiesysteem, achteropkomend verkeer waarschuwing, kruisend verkeer detectie, automatische airconditioning, draadloos opladen en DAB ontvangst.  De nieuwste veiligheidssystemen komen in deze byd ATTO 3 samen. De actuele snelheidslimiet, een inhaalverbod en andere verkeersborden; de verkeersborddetectie ondersteunt u tijdens elke rit. Keep your lane? Het Lane-keeping systeem zorgt er automatisch voor. Onbedoeld bumperkleven is er niet bij, dankzij de forward collision warning. Die waarschuwt direct als een botsrisico met uw voorligger dreigt. In deze byd vinden we verder een dodehoekdetectie, hill hold functie, autonoom remsysteem en bandenspanningcontrolesysteem.  Klaar voor rijden anno nu? Kies dan voor elektrisch met deze byd ATTO 3. Een proefrit overtuigt, dus bel nu voor een afspraak. Kom langs in Alphen aan den Rijn of bel 0172-754020. Of stuur gelijk een whatsapp via het icoontje rechtsonder! Bij ECAR houden wij van transparantie, van eerlijk zakendoen. Daarom houden wij ons aan onze merkwaarden Kostenbewust, Onafhankelijk, Specialist, Betrokken en Laagdrempelig. En daarom ook hebben wij geen verborgen kosten en een afleverpakket dat in de prijs is inbegrepen en het volgende omvat: Fabrieksgarantie (resterend) 12 maanden wettelijke garantie Reiniging van interieur en exterieur Kenteken tenaamstelling RDW-vrijwaring inruilauto Minimaal 12 maanden APK Controle van banden en vloeistoffen 24/7 pechhulp Europa ter waarde van 65 euro Accu minimaal 80% vol en/of € 50 brandstof Lidmaatschap VER (Vereniging Elektrische Rijders) Basis Wilt u nog meer zekerheid en verwennerij, zowel voor uw auto als voor uzelf? Kies dan voor ons optionele ECAR Luxe afleveringspakket. Dan ontvangt u bovenop het Standaard afleverpakket voor € 995,-- extra:  12 maanden garantie volgens Autotrust richtlijnen Aflevering in showroomstaat Onderhoudsbeurt volgens schema Officiële accutest met certificaat Omruilmogelijkheid 14 dagen* Betaald Lidmaatschap VER (Vereniging Elektrische Rijders) Plús uiteraard superscherpe prijzen, een grote voorraad, een zeer complete dienstverlening, aardige mensen en lekkere koffie! Geen extra kosten, alle prijzen zijn inclusief standaard afleverpakket. Op deze advertentie gelden de algemene voorwaarden van Ecar B.V. (deze zijn te vinden onderaan de website). Ten slotte informeren wij u dat ondanks onze grootst mogelijke zorgvuldigheid wij niet aansprakelijk zijn voor eventuele onjuistheden in de beschrijving van de opties en technische gegevens. Modelreeks:  Koppel:  Wielbasis:  Actieradius:  Acceleratie (0-100):  Topsnelheid:  Accutype:  Accu laden: Type 2, 3-fasen, 11 kW, 51 km actieradius per uur, compleet vol in 6 uur en 30 minuten Accu snelladen: Combined Charging System, 89 kW, 370 km actieradius per uur, compleet vol in 0 uur en 37 minuten Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:  Leaseprijs:   (financial lease, 60 maanden); informeer naar de mogelijkheden en voorwaarden Garantie:  Onderhoudsboekjes:  Laadtijd aan krachtstroom aansluiting 3 fase:  Bruikbare accucapaciteit:  Actieradius praktijk zomer:  Actieradius praktijk winter: ",Stroom,12,,BYD,10299,Atto 3,,150,26400.0,Autobedrijf,Automatisch,,12/2022
,"Bekijk de   op autohero.com voor meer informatie over de onderhoudshistorie, autogegevens, tekenen van slijtage en andere details. https://www.autohero.com/NL/seat-leon/id/d7cbfefe-e912-40ed-b57b-e5367bd88569/?utm_source=CLA&utm_medium=classifieds&utm_campaign=classifieds_NL",Benzine,12,,SEAT,72515,Leon,2,85,14549.0,Autobedrijf,Automatisch,,02/2018
,"Deze Toyota Auris Touring Sports maakt een voortreffelijke indruk. Hiermee mag je gezien worden in de stad én op de weg! De aandrijving van deze Toyota wordt verzorgd door een viercilinder benzinemotor en een handgeschakelde zesversnellingsbak. U wordt in deze auto ook getrakteerd op 16 inch lichtmetalen velgen, LED-dagrijverlichting, aluminium dakrailing, elektrisch inklapbare buitenspiegels, in hoogte verstelbare passagiersstoel en donker getint glas achter.  Een vergeten muurtje, een verborgen paaltje? Dat gebeurt niet meer, dankzij de achteruitrijcamera. Zuinig, veilig en ontspannen op pad: dat kan dankzij het aanwezige full map navigatiesysteem. Dankzij electronic climate control is het interieur behaaglijk warm of verfrissend koel. De audiobediening op het stuur zorgt dat muziek en informatie kunnen worden aangepast zonder het zicht op de weg te verliezen. Voor storingvrije digitale radio-ontvangst zorgt de DAB-ontvanger. Wat u ook in deze auto kunt vinden zijn regensensor, cruise control, keyless entry, automatisch dimmende binnenspiegel, lederen stuur en lederen versnellingspook.  Zoals u mag verwachten van deze Toyota Auris Touring Sports is hij uitgerust met een reeks aan actieve veiligheidssystemen. Stilstaan op een aflopend of schuin stuk weg? De hill hold control zorgt dat u probleemloos op uw plek blijft. En zodra u het gaspedaal activeert, rijdt u zo weg.  Deze auto wordt geleverd met Bovag Garantie en u kunt er dan ook verzekerd van zijn dat hij grondig is gecontroleerd. Heeft u interesse? Laat het ons dan zo snel mogelijk weten, dan kunnen we deze Toyota voor een proefrit reserveren. Wij zijn een universeel autobedrijf met meer dan 52 jaar ervaring. ISO gecertificeerd. we zijn elke werkdag open van 8.00 tot 20.00 uur. Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 450 kg) Energielabel:  100% Onderhouden:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Garantielabel:  BOVAG 40-Puntencheck:  BOVAG Afleverbeurt:  Optioneel afleverpakket (zonder meerprijs):   https://www.bovag.nl/BovagWebsite/media/BovagMediaFiles/Downloads/Garantie%20en%20voorwaarden/Algemene-Garantievoorwaarden-Auto-1-2-2018.pdf",Benzine,12,,Toyota,121093,Auris,1,85,13950.0,Autobedrijf,Handgeschakeld,,06/2016
,"UNIEKE AUTO!!!!, KLEUR BMW INDIVIDUAL MANHATTAN METALLIC MET EXTERIEUR CIRIUM GREY ACCENTEN ( GRILLE + SPIEGELKAPPEN enz.enz. ) EN MET PRACHTIG INTERIEUR COGNAC VERNASCA LEDER COMFORT STOELEN!!, VOLLEDIGE BMW DEALER HISTORIE, NET OH BEURT GEHAD!!!!, X5 45e 392PK HIGH EXECUTIVE UITVOERING!!, BOMVOL MET OPTIES: PANORAMA-SCHUIFKANTELDAK, LUCHTVERING, HEAD-UP DISPLAY, 22 INCH LMV BREEDSET INDIVIDUAL BMW STYLING 746 V-SPAAK, MET RONDOM NW CONTINENTAL ( let op, deze set heeft een meerprijs!!!!, standaard wordt deze auto geleverd op 20 inch lmv breedset orig. bmw ), ELECTR. VERST. STOELEN + VERWARMING + MEMORY, ACHTERBANK VERWARMING, LASER-LED KOPLAMPEN, CAMERA, ACTIVE STEERING, ADAPTIVE CRUISE CONTROL, DRIVING ASSISTANT PROF., LIVE COCKPIT PRO, HARMAN & KARDON PREMIUM AUDIO SYSTEEM, SFEER-VERLICHTING INSTELBAAR, LEREN SPORTSTUUR MULTI-FUNCTIONEEL + STUURVERWARMING, EDELHOUT FINE LINE STRIPE DONKERBRAUN HOOGGLANS, CARPLAY/ANDROID AUTO, DAB RADIO, WIFI, DONKERE HEMEBEKLEDING, PRIVACY GLASS, PARKEERSENSOREN + ASSISTENT, TREEPLANKEN, OPTIONEEL TEGEN MEERPRIJS LEVERBAAR AFN. TREKHAAK. BENT U OP ZOEK NAAR EEN UNIEKE BMW X5 45e, IN MACHTIGE KLEURSTELLING, BOMVOL MET OPTIES EN SLECHTS 54.000KM GEREDEN, MAAK DAN SNEL EEN AFSPRAAK BIJ PPW AUTO'S TE DORDRECHT OM DEZE TOPPER TE KOMEN BEZICHTIGEN. DE PREMIUM OCCASION SPECIALIST VAN NEDERLAND, PPW AUTO'S TE DORDRECHT!!  BEZICHTIGING EN/OF PROEFRIT IS MOGELIJK UITSLUITEND OP AFSPRAAK, BEL/APP 06-40909540  WWW.PPWAUTOS.NL, KIJK OP ONZE WEBSITE VOOR EEN UITGEBREIDE FOTOREPORTAGE. AL ONZE AUTO'S ZIJN SCHADEVRIJ, DEALER-ONDERHOUDEN EN VOORZIEN VAN AANTOONBAAR JUISTE KILOMETER EN ONDERHOUDS-HISTORIE!!!!. GEADVERTEERDE PRIJS BETREFT EEN SCHERPE MEENEEMPRIJS, WIJ REKENEN GEEN AFLEVERINGSKOSTEN.  AANKOOPKEURING MOGELIJK, WIJ WERKEN SAMEN MET AUTOCOACH.NL. GRAAG VOORAF BELLEN IVM BESCHIKBAARHEID VOERTUIG OP DAT MOMENT. PPW AUTO'S "" DE PREMIUM OCCASION SPECIALIST "". Met reeds 30 jaar ervaring in de autobranche is dit een vertrouwd adres voor een goede en aantrekkelijk geprijsde kwaliteit occasion. Heeft u online een auto gezien uit onze voorraad en wilt u deze komen bekijken neem dan gerust contact met ons op. De auto's zijn aflever klaar en  na een geslaagde proefrit kunnen wij de auto direct voor u op naam zetten. Uiteraard is inruil van uw huidige auto mogelijk en kunnen wij voor u een passend voorstel maken wat betreft financiering en/of verzekering. Indien U op zoek bent naar een specifieke auto, welke wij op dit moment niet in de voorraad hebben, laat het ons weten en wij gaan de auto voor u zoeken. Dit is uiteraard ook mogelijk voor bestel auto’s. Hoewel alle gegevens met de grootst mogelijke zorgvuldigheid zijn samengesteld is PPW Auto's niet aansprakelijk voor verkeerde opties of fouten in de advertentie. Ontdekt u toch een fout? Meld het ons! Modelreeks:  Vermogen:   (394 PK) Vermogen brandstofmotor:   (286 PK) Koppel:  Wielbasis:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Energielabel:  Onderhoudsboekjes:  Aantal sleutels:  Motorrijtuigenbelasting:  Garantielabel: ",Stroom,12,Ja,BMW,54682,X5,,290,59850.0,Autobedrijf,Automatisch,,11/2020
,"Auto Stuart Elst is een bij de BOVAG aangesloten universeel autobedrijf en al jaren het adres voor de aanschaf van gebruikte auto's. Ook bedrijfswagens behoren bij deze service. Reparatie en onderhoud wordt door ervaren en enthousiaste werknemers uitgevoerd, zoals u van een erkend autobedrijf kunt verwachten. Wij bieden u mooie jonge occasions aan met weinig kilometers. Garantie tegen meerprijs, vraag naar de voorwaarden. LET OP!!! De advertentie is altijd onder voorbehoud van fouten; wij proberen de voertuigen kwalitatief zo goed mogelijk te adverteren; controleer altijd zelf goed of de geadverteerde opties aanwezig zijn en functioneren. Na aankoop is reclamatie niet mogelijk. Eventueel bij het ontbreken van een tweede sleutel kunnen wij deze tegen kostprijs voor u regelen. Bij eventueel ontbrekende coderingen / updates voor functies zoals o.a Apple CarPlay / navigatie, kunnen tegen de respectievelijke meerprijs uitgevoerd worden. Opties onder abonnement vorm zijn uitgesloten. Modelreeks:  Modelcode:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxB):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 750 kg) Gemiddeld brandstofverbruik:   (1 op 20,0) Energielabel:  Technische staat:  Optische staat:  Staat interieur:  Aantal sleutels:  Motorrijtuigenbelasting:   per kwartaal   Handelsprijs /niet voor particulieren    vraag verkoper naar afleverpakket 650 euro/12 maanden Eigen Garantie    of 950 euro/ 12 maanden BOVAG    Dit afleverpakket bevat: Geldige APK, RDW-leges, Wettelijke garantie   Dit afleverpakket bevat (in plaats van afleverpakket ""Auto Stuart Elst Basis Bronze""): Nieuwe APK   Dit afleverpakket bevat (in plaats van afleverpakket ""Auto Stuart Elst Basis Bronze""): BOVAG garantie (12 maanden); BOVAG 40-Puntencheck; BOVAG Afleverbeurt; Nieuwe APK Airconditioning:  Storingsmelding: ",Elektro/Benzine,Ja,Ja,Ford,122829,Mondeo,2,138,18500.0,Autobedrijf,Automatisch,,02/2020
,"Bekijk de   op autohero.com voor meer informatie over de onderhoudshistorie, autogegevens, tekenen van slijtage en andere details. https://www.autohero.com/NL/volkswagen-passat/id/74b369ae-fd03-4b4e-8989-7430217b67fa/?utm_source=CLA&utm_medium=classifieds&utm_campaign=classifieds_NL",Benzine,12,,Volkswagen,54300,Passat,2,110,25649.0,Autobedrijf,Automatisch,,03/2021
,"Prachtige Audi Q8 60e Hybride facelift incl. 5 jaar fabrieksgarantie of 100.0000km, o.a. voorzien van de volgende fabrieksopties: QQ2 sfeerverlichtingspakket plus PBY Assistentiepakket Plus met Park Assist plus op afstand VT5 Dorpellijsten met aluminium inzetstukken voor en achter, verlicht, met ""S""-logo vooraan 1D9 Trekhaak inclusief aanhangerassistentie 6XL Buitenspiegels, elektrisch verstelbaar, verwarmd en inklapbaar, automatisch. dimmen, met geheugenfunctie 7Y1 Zijassistentie met uitstapwaarschuwing en kruispuntassistentie achteraan 6FJ Buitenspiegelbehuizingen in zwart 3FU Glazen panoramisch dak 8IZ HD matrix LED-koplampen met Audi-laserlicht QR9 Cameragebaseerde verkeersbordherkenning 8SC digitale OLED-achterlichten 4ZP Zwart Stylingpakket plus 5J1 Dakrandspoiler inclusief centraal hoog gemonteerd remlicht QL5 Zonwerend glas, getint VW0 Akoestisch glas voor deur- en zijruiten 4GR voorruit met klimaatcomfort/akoestische beglazing, draadloos verwarmd QV3 DAB 9VS Bang & Olufsen 3D Premium-geluidssysteem 9ZE Audi telefooncel IU4 Audi applicatiewinkel en smartphone-interface VC2 Garagedeuropener UE8 USB-poorten met oplaadfunctie aan de achterkant IT3 Audi connect Navigatie & Infotainment IW3 Audi connect Noodoproep & Service met Audi connect Remote & Control KS1 Head-updisplay 9S8 Audi virtuele cockpit QR9 Cameragebaseerde verkeersbordherkenning 7X5 Park Assist met parkeersysteem plus 6E6 Comfort middenarmsteun, voor 3Y6 Zonnescherm, elektrisch voor de zijruiten achter, handmatig voor de achterruit 6NS Hemelbekleding in Dinamica microvezel, zwart YYB grijs gekleurde naden, Audi Sport GmbH 9AU 3-zone luxe automatische airconditioning 2V9 Ionisator en geurfunctie 4A4 Stoelverwarming, voor en achter N0Q Valcona-leer met S-reliëf en ruitpatroon 7HL Uitgebreide interieurelementen in leer Q4Q Sportstoelen plus, voor PV6 Elektrisch verstelbare stoelen voorin inclusief geheugenfunctie voor beide voorstoelen 7P1 4-voudig verstelbare lendensteun voor de voorstoelen 6E6 Comfort middenarmsteun, voor 4D8 Stoelventilatie en massagefunctie, voor 3NS Achterbank plus 4F2 Comfortsleutel met sensorgestuurde ontgrendeling van de bagageruimteklep, met Safelock 4E7 Kofferdeksel, elektrisch openend en sluitend 1I0 Zitbezettingssensor 4X9 Audi pre sense achterpakket QQ2 Sfeerverlichtingspakket plus 9TF Entry LED met projectie, voor en achter GM4 Akoestisch voertuigwaarschuwingssysteem GS5 Glanzend Zwarte bedieningsknoppen met haptische feedback en KA6 360 graden camera's 6K8 Audi pre-sense JX1 Assistentie voor kruisend verkeer vooraan 2MA adaptieve luchtvering sport 2H9 Audi drive select 6I6 Adaptieve cruise-assistentie met noodhulp 58U Audi Sportvelgen, 10-spaaks trapeziumvormige stijl, Zwart, 10,0J x 23, banden 285/35 R23 1XP Lederen stuur, 3-spaaks, multifunctioneel, schakel paddles en stuurwielverwarming 0N5 Vierwielbesturing QZ7 Elektromechanische stuurbekrachtiging Meerdere kleuren en uitvoeringen leverbaar!  Wij hebben een passie voor auto’s, en verkopen en onderhouden alle merken. Onze auto’s zijn allemaal dealer onderhouden, met volledige onderhoudshistorie en zijn voorzien van de Nationale AutoPas.  Wilt u meer weten over deze auto? Neem contact met ons op, we helpen u graag verder! Is voor u een optie belangrijk, dan adviseren wij u hier specifiek naar te vragen. Deze auto wordt aangeboden bij Breedveld Auto’s BV. Bent u geïnteresseerd? Dan nodigen wij u van harte uit om een proefrit te maken of om ons gehele aanbod te bekijken in onze volledig nieuwe showroom en werkplaats van 1000 vierkante meter! Aan deze advertentie kunnen geen rechten worden ontleend Modelreeks:  Koppel:  Plug-in hybride:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Accu laden:  Wielbasis:  Gemiddeld brandstofverbruik:   (1 op 35,7) Gemiddeld elektriciteitsverbruik:  Energielabel:  Motorrijtuigenbelasting:   per kwartaal Fabrieksgarantie tot:    - 12 maanden BOVAG garantie    - Service beurt volgens fabrieksschema   - Kosteloos vervangend vervoer    Dit afleverpakket bevat (in plaats van afleverpakket ""Breedveld Basis ""): BOVAG garantie (12 maanden); Nieuwe APK",Elektro/Benzine,Ja,,Audi,10,Q8,,360,139950.0,Autobedrijf,Automatisch,,03/2025
