Brand,Observation Index,Rank of warranty_label
Volkswagen,748,4
Volkswagen,267,5
Volkswagen,692,5
Volkswagen,723,5
Volkswagen,13,6
Volkswagen,73,6
Volkswagen,97,6
Volkswagen,98,6
Volkswagen,159,6
Volkswagen,175,6
Volkswagen,187,6
Volkswagen,372,6
Volkswagen,376,6
Volkswagen,392,6
Volkswagen,420,6
Volkswagen,448,6
Volkswagen,486,6
Volkswagen,550,6
Volkswagen,563,6
Volkswagen,599,6
Volkswagen,648,6
Volkswagen,679,6
Volkswagen,686,6
Volkswagen,703,6
Volkswagen,729,6
Volkswagen,68,7
Volkswagen,76,7
Volkswagen,85,7
Volkswagen,130,7
Volkswagen,144,7
Volkswagen,147,7
Volkswagen,151,7
Volkswagen,176,7
Volkswagen,206,7
Volkswagen,322,7
Volkswagen,335,7
Volkswagen,347,7
Volkswagen,350,7
Volkswagen,408,7
Volkswagen,458,7
Volkswagen,474,7
Volkswagen,480,7
Volkswagen,496,7
Volkswagen,497,7
Volkswagen,498,7
Volkswagen,533,7
Volkswagen,597,7
Volkswagen,647,7
Volkswagen,682,7
Volkswagen,767,7
Volkswagen,768,7
Volkswagen,810,7
Volkswagen,820,7
Volkswagen,841,7
Volkswagen,4,8
Volkswagen,7,8
Volkswagen,35,8
Volkswagen,40,8
Volkswagen,43,8
Volkswagen,74,8
Volkswagen,154,8
Volkswagen,161,8
Volkswagen,162,8
Volkswagen,171,8
Volkswagen,181,8
Volkswagen,211,8
Volkswagen,212,8
Volkswagen,239,8
Volkswagen,247,8
Volkswagen,253,8
Volkswagen,269,8
Volkswagen,276,8
Volkswagen,283,8
Volkswagen,302,8
Volkswagen,314,8
Volkswagen,325,8
Volkswagen,346,8
Volkswagen,367,8
Volkswagen,369,8
Volkswagen,409,8
Volkswagen,422,8
Volkswagen,442,8
Volkswagen,487,8
Volkswagen,491,8
Volkswagen,493,8
Volkswagen,507,8
Volkswagen,513,8
Volkswagen,556,8
Volkswagen,564,8
Volkswagen,571,8
Volkswagen,587,8
Volkswagen,594,8
Volkswagen,604,8
Volkswagen,609,8
Volkswagen,610,8
Volkswagen,621,8
Volkswagen,691,8
Volkswagen,700,8
Volkswagen,705,8
Volkswagen,792,8
Volkswagen,816,8
Volkswagen,823,8
Volkswagen,837,8
Volkswagen,842,8
Volkswagen,844,8
Volkswagen,846,8
Volkswagen,856,8
Volkswagen,857,8
Volkswagen,867,8
Volkswagen,1,9
Volkswagen,16,9
Volkswagen,28,9
Volkswagen,30,9
Volkswagen,37,9
Volkswagen,56,9
Volkswagen,57,9
Volkswagen,123,9
Volkswagen,127,9
Volkswagen,142,9
Volkswagen,149,9
Volkswagen,157,9
Volkswagen,163,9
Volkswagen,180,9
Volkswagen,183,9
Volkswagen,193,9
Volkswagen,197,9
Volkswagen,199,9
Volkswagen,226,9
Volkswagen,228,9
Volkswagen,231,9
Volkswagen,233,9
Volkswagen,261,9
Volkswagen,270,9
Volkswagen,271,9
Volkswagen,291,9
Volkswagen,297,9
Volkswagen,328,9
Volkswagen,329,9
Volkswagen,330,9
Volkswagen,359,9
Volkswagen,374,9
Volkswagen,379,9
Volkswagen,400,9
Volkswagen,425,9
Volkswagen,438,9
Volkswagen,477,9
Volkswagen,515,9
Volkswagen,528,9
Volkswagen,530,9
Volkswagen,541,9
Volkswagen,591,9
Volkswagen,592,9
Volkswagen,612,9
Volkswagen,625,9
Volkswagen,644,9
Volkswagen,645,9
Volkswagen,658,9
Volkswagen,659,9
Volkswagen,673,9
Volkswagen,711,9
Volkswagen,731,9
Volkswagen,785,9
Volkswagen,805,9
Volkswagen,817,9
Volkswagen,824,9
Volkswagen,827,9
Volkswagen,847,9
Volkswagen,848,9
Peugeot,5,3
Peugeot,211,3
Peugeot,301,3
Peugeot,3,4
Peugeot,13,4
Peugeot,15,4
Peugeot,16,4
Peugeot,17,4
Peugeot,19,4
Peugeot,21,4
Peugeot,24,4
Peugeot,26,4
Peugeot,27,4
Peugeot,39,4
Peugeot,44,4
Peugeot,49,4
Peugeot,54,4
Peugeot,55,4
Peugeot,60,4
Peugeot,61,4
Peugeot,63,4
Peugeot,64,4
Peugeot,84,4
Peugeot,94,4
Peugeot,98,4
Peugeot,106,4
Peugeot,108,4
Peugeot,113,4
Peugeot,129,4
Peugeot,130,4
Peugeot,132,4
Peugeot,136,4
Peugeot,138,4
Peugeot,140,4
Peugeot,145,4
Peugeot,152,4
Peugeot,155,4
Peugeot,156,4
Peugeot,165,4
Peugeot,166,4
Peugeot,168,4
Peugeot,179,4
Peugeot,189,4
Peugeot,197,4
Peugeot,199,4
Peugeot,213,4
Peugeot,216,4
Peugeot,218,4
Peugeot,221,4
Peugeot,224,4
Peugeot,233,4
Peugeot,234,4
Peugeot,236,4
Peugeot,237,4
Peugeot,242,4
Peugeot,248,4
Peugeot,260,4
Peugeot,261,4
Peugeot,267,4
Peugeot,269,4
Peugeot,277,4
Peugeot,282,4
Peugeot,284,4
Peugeot,292,4
Peugeot,299,4
Peugeot,303,4
Peugeot,305,4
Peugeot,309,4
Peugeot,311,4
Peugeot,312,4
Peugeot,313,4
Peugeot,315,4
Peugeot,323,4
Peugeot,326,4
Peugeot,336,4
Peugeot,341,4
Peugeot,343,4
Peugeot,352,4
Peugeot,366,4
Peugeot,373,4
Peugeot,375,4
Peugeot,381,4
Peugeot,384,4
Peugeot,386,4
Peugeot,397,4
Peugeot,408,4
Peugeot,413,4
Peugeot,416,4
Peugeot,417,4
Peugeot,419,4
Peugeot,424,4
Peugeot,427,4
Peugeot,429,4
Peugeot,430,4
Peugeot,431,4
Peugeot,434,4
Peugeot,439,4
Peugeot,440,4
Peugeot,443,4
Peugeot,458,4
Peugeot,459,4
Peugeot,461,4
Peugeot,468,4
Peugeot,469,4
Peugeot,471,4
Peugeot,473,4
Peugeot,476,4
Peugeot,481,4
Peugeot,482,4
Peugeot,484,4
Peugeot,486,4
Peugeot,487,4
Peugeot,497,4
Peugeot,511,4
Peugeot,517,4
Peugeot,524,4
Peugeot,0,5
Peugeot,1,5
Peugeot,2,5
Peugeot,4,5
Peugeot,7,5
Peugeot,8,5
Peugeot,9,5
Peugeot,10,5
Peugeot,12,5
Peugeot,18,5
Peugeot,20,5
Peugeot,23,5
Peugeot,29,5
Peugeot,33,5
Peugeot,36,5
Peugeot,38,5
Peugeot,40,5
Peugeot,48,5
Peugeot,50,5
Peugeot,51,5
Peugeot,56,5
Peugeot,57,5
Peugeot,58,5
Peugeot,62,5
Peugeot,66,5
Peugeot,67,5
Peugeot,69,5
Peugeot,72,5
Peugeot,73,5
Peugeot,74,5
Peugeot,78,5
Peugeot,82,5
Peugeot,87,5
Peugeot,90,5
Peugeot,92,5
Peugeot,95,5
Peugeot,96,5
Peugeot,100,5
Peugeot,101,5
Peugeot,103,5
Peugeot,105,5
Peugeot,110,5
Peugeot,111,5
Peugeot,114,5
Peugeot,118,5
Peugeot,120,5
Peugeot,121,5
Peugeot,123,5
Peugeot,124,5
Peugeot,133,5
Peugeot,135,5
Peugeot,139,5
Peugeot,142,5
Peugeot,143,5
Peugeot,148,5
Peugeot,150,5
Peugeot,151,5
Peugeot,153,5
Peugeot,154,5
Peugeot,157,5
Peugeot,159,5
Peugeot,160,5
Peugeot,171,5
Peugeot,172,5
Peugeot,174,5
Peugeot,180,5
Peugeot,181,5
Peugeot,182,5
Peugeot,186,5
Peugeot,187,5
Peugeot,191,5
Peugeot,196,5
Peugeot,202,5
Peugeot,205,5
Peugeot,206,5
Peugeot,210,5
Peugeot,214,5
Peugeot,219,5
Peugeot,220,5
Peugeot,225,5
Peugeot,226,5
Peugeot,235,5
Peugeot,240,5
Peugeot,243,5
Peugeot,244,5
Peugeot,245,5
Peugeot,246,5
Peugeot,250,5
Peugeot,254,5
Peugeot,257,5
Peugeot,258,5
Peugeot,259,5
Peugeot,263,5
Peugeot,265,5
Peugeot,268,5
Peugeot,271,5
Peugeot,273,5
Peugeot,276,5
Peugeot,285,5
Peugeot,286,5
Peugeot,289,5
Peugeot,290,5
Peugeot,291,5
Peugeot,295,5
Peugeot,297,5
Peugeot,298,5
Peugeot,310,5
Peugeot,316,5
Peugeot,318,5
Peugeot,319,5
Peugeot,320,5
Peugeot,321,5
Peugeot,327,5
Peugeot,331,5
Peugeot,332,5
Peugeot,337,5
Peugeot,340,5
Peugeot,342,5
Peugeot,345,5
Peugeot,348,5
Peugeot,351,5
Peugeot,353,5
Peugeot,354,5
