Brand,Best CV RMSE,Mean CV RMSE,Test RMSE,Test R2,Generalization Error (CV to Test) %,n_estimators,max_depth,subsample,colsample_bytree,min_child_weight,Seed,k-fold cross-validation
Volkswagen,3426.6176321951366,5205.652129720397,3328.329642849045,0.931440620967644,-36.06315673982975,732,16,0.8987207066626437,0.794041948076689,2,125,5
Peugeot,2375.7755897381803,3360.3773615544746,2768.9003698399006,0.9152520659389835,-17.601505071470996,695,40,0.5545608257350357,0.8047554497217989,1,125,5
Mercedes-Benz,15723.584728361597,19368.5626218524,12165.206936276294,0.8237181218401155,-37.19096675480187,744,12,0.5331975032479684,0.8360272402212359,2,125,5
Ford,3404.266071674797,5115.040638769788,4315.32157957386,0.8832021928783482,-15.634656998312089,688,11,0.7799343615336172,0.8091055991594739,1,125,5
BMW,7853.8629774964775,11751.92971028305,6571.037886355599,0.9409483457660658,-44.085456190178895,688,11,0.7799343615336172,0.8091055991594739,1,125,5
Opel,3078.698125834543,3840.2293316632495,2426.7080355872267,0.899414664814019,-36.80825216403964,695,40,0.5545608257350357,0.8047554497217989,1,125,5
Audi,8889.154794904274,13603.525960024823,6448.624563633846,0.9534869438516642,-52.59593297661425,732,16,0.8987207066626437,0.794041948076689,2,125,5
Renault,3295.4477273046614,4233.524856545612,2456.8050550054513,0.9253080443585788,-41.9678603939955,475,24,0.929190253285167,0.7086444292396217,2,125,5
Toyota,3340.975766956902,4897.445258681407,3735.934743370137,0.8891636640067428,-23.716661523726685,957,24,0.8341271516397137,0.9809680066983084,2,125,5
Volvo,3900.059412802041,5979.51381897035,3527.487824515854,0.9607184383564413,-41.0071130979797,213,37,0.8010156912120595,0.8525528900942319,2,125,5
