apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
,,Benzine,,Abarth,158000,500,,99,9000,Particulier,,,Apr/09,0
,Wit,Benzine,Ja,Abarth,198600,500,,99,7000,Particulier,Handgeschakeld,1010,Dec/08,0
,Zwart,Benzine,Ja,Abarth,253000,500,4,99,7000,Particulier,Handgeschakeld,1010,May/09,0
Nieuw,Zwart,Benzine,Ja,Abarth,92934,595,,132,15950,Autobedrijf,Handgeschakeld,1045,Aug/15,5
,Groen,Benzine,Ja,Abarth,58269,595 Competizione,,132,39995,Autobedrijf,Automatisch,1165,May/20,0
,Wit,Benzine,,Abarth,58786,595,1,99,19950,Autobedrijf,Handgeschakeld,1020,May/19,0
Nieuw,Grijs,Benzine,Ja,Abarth,65561,595 Turismo,,121,17250,Autobedrijf,Handgeschakeld,,Mar/17,0
Nieuw,Rood,Benzine,Ja,Abarth,73354,595,,107,16995,Autobedrijf,Handgeschakeld,1120,Mar/19,5
Oct/25,Grijs,Benzine,,Abarth,45845,695,,180,23990,Autobedrijf,Automatisch,1030,Nov/17,5
Feb/26,Geel,Benzine,Ja,Abarth,17250,595C,,121,27900,Particulier,Handgeschakeld,1065,Dec/21,0
Oct/25,Grijs,Benzine,Ja,Abarth,50705,595,1,107,20900,Autobedrijf,Handgeschakeld,1020,Oct/21,5
Nieuw,Geel,Benzine,Ja,Abarth,18701,595,,107,23495,Autobedrijf,Handgeschakeld,1020,Jul/21,0
Jul/26,Groen,Benzine,Ja,Abarth,34758,695,3,132,26895,Autobedrijf,Handgeschakeld,1020,Jun/20,0
Jun/26,Zwart,Benzine,Ja,Abarth,42272,595C,,121,27950,Autobedrijf,Handgeschakeld,1065,Aug/21,0
Nieuw,Wit,Benzine,,Abarth,52091,595 Turismo,1,121,22440,Autobedrijf,Handgeschakeld,1040,Aug/20,5
Jul/25,Grijs,Benzine,Ja,Abarth,23269,595 Turismo,1,121,29990,Autobedrijf,Handgeschakeld,1065,Jul/21,0
Nieuw,Blauw,Benzine,Ja,Abarth,18223,695,,132,38900,Autobedrijf,Handgeschakeld,1040,Aug/22,0
,Wit,Benzine,,Abarth,36550,500,1,107,25500,Autobedrijf,Handgeschakeld,1020,Aug/22,0
Sep/26,Grijs,Benzine,Ja,Abarth,38350,500,1,132,29500,Autobedrijf,Automatisch,1165,Jul/20,0
Nieuw,Zwart,Benzine,Ja,Abarth,6318,595 Turismo,,121,28950,Autobedrijf,Half/Semi-automaat,,Dec/22,0
,Zwart,Benzine,,Abarth,23400,595,,121,23000,Autobedrijf,Handgeschakeld,,Jan/21,5
,Zwart,Benzine,Ja,Abarth,58184,595C,2,132,18250,Autobedrijf,Handgeschakeld,1150,Jan/20,0
Aug/26,Grijs,Benzine,Ja,Abarth,6868,695,1,132,24495,Autobedrijf,Handgeschakeld,1020,Aug/20,5
May/25,Grijs,Benzine,Ja,Abarth,35121,595 Competizione,,132,28945,Autobedrijf,Handgeschakeld,1040,May/21,5
Jan/28,Blauw,Stroom,Ja,Abarth,7464,500e,,114,28900,Autobedrijf,Automatisch,1310,Jan/24,0
,Grijs,Benzine,,Abarth,52828,595 Turismo,1,121,19950,Autobedrijf,Handgeschakeld,1050,Dec/21,0
Sep/25,Grijs,Benzine,,Abarth,66908,500C,,107,16950,Autobedrijf,Handgeschakeld,1050,Sep/17,0
Nieuw,Groen,Benzine,Ja,Abarth,48462,500,,132,28900,Autobedrijf,Handgeschakeld,1020,Feb/20,4
May/26,Wit,Benzine,,Abarth,46783,500,,132,20445,Autobedrijf,Handgeschakeld,1020,May/18,1
,Rood,Benzine,Ja,Abarth,43909,124 Spider,2,125,31900,Particulier,Handgeschakeld,1035,Oct/18,0
,Zwart,Benzine,,Abarth,92000,595,1,107,14999,Particulier,,,May/17,5
May/25,Rood,Benzine,Ja,Abarth,123473,595 Competizione,,132,16900,Autobedrijf,Handgeschakeld,1045,Jul/17,0
Nov/25,Rood,Benzine,Ja,Abarth,58007,595,5,107,17495,Autobedrijf,Automatisch,1050,Nov/16,0
,Grijs,Benzine,Ja,Abarth,106600,595,,107,13000,Particulier,Handgeschakeld,,Aug/17,5
Jan/26,Grijs,Benzine,Ja,Abarth,68977,500C,,132,14990,Autobedrijf,Handgeschakeld,1065,Feb/16,0
Nieuw,Wit,Benzine,,Abarth,71217,595,,132,19450,Autobedrijf,Handgeschakeld,1032,Jul/18,5
,Geel,Benzine,,Abarth,57865,695,,133,34750,Autobedrijf,Automatisch,,Sep/11,0
,Zwart,Benzine,Ja,Abarth,64201,500,,99,13900,Autobedrijf,Handgeschakeld,,Jul/13,5
Sep/25,Wit,Benzine,Ja,Abarth,81000,500,,99,11690,Autobedrijf,Handgeschakeld,1010,Sep/15,0
Nieuw,Geel,Benzine,Ja,Abarth,37863,695,1,132,34900,Autobedrijf,Automatisch,1045,Jun/11,0
Mar/26,Grijs,Benzine,Ja,Abarth,49535,595C,,118,15900,Autobedrijf,Automatisch,1060,Mar/15,5
Jul/25,Grijs,Benzine,,Abarth,96422,500,,99,12950,Autobedrijf,Handgeschakeld,1010,Aug/14,0
